Elapsed time,Thread Group
23:10:39.500,1.0
23:10:40.0,1.5
23:10:40.500,2.0
23:10:41.0,2.6666666666666665
23:10:41.500,3.0
23:10:42.0,3.75
23:10:42.500,4.0
23:10:43.0,4.4
23:10:43.500,5.0
23:10:44.0,5.8
23:10:44.500,6.0
23:10:45.0,7.0
23:10:45.500,7.0
23:10:46.0,7.666666666666667
23:10:46.500,8.0
23:10:47.0,8.555555555555555
23:10:47.500,9.0
23:10:48.0,9.7
23:10:48.500,10.0
23:10:49.0,10.636363636363637
23:10:49.500,11.0
23:10:50.0,11.545454545454545
23:10:50.500,12.0
23:10:51.0,12.833333333333334
23:10:51.500,13.0
23:10:52.0,13.8
23:10:52.500,14.0
23:10:53.0,14.4
23:10:53.500,15.0
23:10:54.0,15.785714285714286
23:10:54.500,16.0
23:10:55.0,16.5
23:10:55.500,17.0
23:10:56.0,17.90909090909091
23:10:56.500,18.0
23:10:57.0,18.666666666666668
23:10:57.500,19.0
23:10:58.0,19.636363636363637
23:10:58.500,20.0
23:10:59.0,20.642857142857142
23:10:59.500,21.0
23:11:00.0,21.636363636363637
23:11:00.500,22.0
23:11:01.0,22.615384615384617
23:11:01.500,23.0
23:11:02.0,23.733333333333334
23:11:02.500,24.0
23:11:03.0,24.533333333333335
23:11:03.500,25.0
23:11:04.0,25.53846153846154
23:11:04.500,26.0
23:11:05.0,26.615384615384617
23:11:05.500,27.0
23:11:06.0,27.615384615384617
23:11:06.500,28.0
23:11:07.0,28.529411764705884
23:11:07.500,29.0
23:11:08.0,29.6
23:11:08.500,30.0
23:11:09.0,30.75
23:11:09.500,31.0
23:11:10.0,31.8125
23:11:10.500,32.0
23:11:11.0,32.8125
23:11:11.500,33.0
23:11:12.0,33.714285714285715
23:11:12.500,34.0
23:11:13.0,34.625
23:11:13.500,35.0
23:11:14.0,35.666666666666664
23:11:14.500,36.0
23:11:15.0,36.6875
23:11:15.500,37.0
23:11:16.0,37.6
23:11:16.500,38.0
23:11:17.0,38.53333333333333
23:11:17.500,39.0
23:11:18.0,39.705882352941174
23:11:18.500,40.0
23:11:19.0,40.714285714285715
23:11:19.500,41.0
23:11:20.0,41.666666666666664
23:11:20.500,42.0
23:11:21.0,42.705882352941174
23:11:21.500,43.0
23:11:22.0,43.68421052631579
23:11:22.500,44.0
23:11:23.0,44.7
23:11:23.500,45.0
23:11:24.0,46.0
23:11:24.500,46.0
23:11:25.0,46.53333333333333
23:11:25.500,47.0
23:11:26.0,48.0
23:11:26.500,48.0
23:11:27.0,48.529411764705884
23:11:27.500,49.0
23:11:28.0,50.0
23:11:28.500,50.0
23:11:29.0,50.473684210526315
23:11:29.500,51.0
23:11:30.0,51.55
23:11:30.500,52.0
23:11:31.0,52.476190476190474
23:11:31.500,53.0
