Elapsed time,Config test request
20:20:02.0,339.5
20:20:02.500,333.3333333333333
20:20:03.0,334.3333333333333
20:20:03.500,327.25
20:20:04.0,321.8
20:20:04.500,332.4
20:20:05.0,333.14285714285717
20:20:05.500,341.0
20:20:06.0,346.2
20:20:06.500,361.6666666666667
20:20:07.0,360.0
20:20:07.500,378.1111111111111
20:20:08.0,381.875
20:20:08.500,391.0833333333333
20:20:09.0,403.0
20:20:09.500,419.3
20:20:10.0,439.4
20:20:10.500,447.8181818181818
20:20:11.0,469.54545454545456
20:20:11.500,485.8
20:20:12.0,503.90909090909093
20:20:12.500,525.25
20:20:13.0,543.5
20:20:13.500,551.6666666666667
20:20:14.0,572.2222222222222
20:20:14.500,583.1666666666666
20:20:15.0,600.6153846153846
20:20:15.500,614.0
20:20:16.0,630.0833333333334
20:20:16.500,644.25
20:20:17.0,654.3076923076923
20:20:17.500,663.0
20:20:18.0,682.2142857142857
20:20:18.500,690.6666666666666
20:20:19.0,699.2666666666667
20:20:19.500,705.25
20:20:20.0,724.3846153846154
20:20:20.500,729.4615384615385
20:20:21.0,741.6923076923077
20:20:21.500,744.7142857142857
20:20:22.0,763.0
20:20:22.500,767.2857142857143
20:20:23.0,779.3333333333334
20:20:23.500,795.6666666666666
20:20:24.0,802.6666666666666
20:20:24.500,813.4166666666666
20:20:25.0,823.1111111111111
20:20:25.500,836.3846153846154
20:20:26.0,846.6923076923077
20:20:26.500,856.6875
20:20:27.0,880.7142857142857
20:20:27.500,886.2142857142857
20:20:28.0,899.7058823529412
20:20:28.500,906.3571428571429
20:20:29.0,926.625
20:20:29.500,933.9230769230769
20:20:30.0,940.1176470588235
20:20:30.500,955.0769230769231
20:20:31.0,965.4705882352941
20:20:31.500,971.1538461538462
20:20:32.0,981.1666666666666
20:20:32.500,992.0
20:20:33.0,1002.7894736842105
20:20:33.500,1028.923076923077
20:20:34.0,1028.5555555555557
20:20:34.500,1064.6153846153845
20:20:35.0,1057.4375000000005
20:20:35.500,1095.4999999999998
20:20:36.0,1114.3125
20:20:36.500,1138.0
20:20:37.0,1130.4
20:20:37.500,1176.8
20:20:38.0,1180.2666666666667
20:20:38.500,1207.642857142857
20:20:39.0,1241.2222222222222
20:20:39.500,1232.0833333333333
20:20:40.0,1266.875
20:20:40.500,1232.8461538461538
20:20:41.0,1311.8333333333333
20:20:41.500,1285.0625
20:20:42.0,1338.857142857143
20:20:42.500,1319.3529411764703
20:20:43.0,1359.4375
20:20:43.500,1301.0833333333333
20:20:44.0,1400.4736842105262
20:20:44.500,1334.2307692307693
20:20:45.0,1398.421052631579
20:20:45.500,1356.2857142857142
20:20:46.0,1444.142857142857
20:20:46.500,1441.6666666666667
20:20:47.0,1536.4666666666667
20:20:47.500,1472.625
20:20:48.0,1494.125
20:20:48.500,1462.5882352941176
20:20:49.0,1494.5294117647059
20:20:49.500,1499.111111111111
20:20:50.0,1538.5555555555557
20:20:50.500,1596.7368421052631
20:20:51.0,1621.6666666666667
20:20:51.500,1630.3500000000001
20:20:52.0,1656.2
20:20:52.500,1655.6666666666667
20:20:53.0,1667.5
20:20:53.500,1650.4545454545455
20:20:54.0,1691.6363636363637
20:20:54.500,1638.4347826086957
20:20:55.0,1701.2727272727273
20:20:55.500,1704.6666666666667
20:20:56.0,1733.75
20:20:56.500,1813.36
20:20:57.0,1889.0833333333333
20:20:57.500,1831.357142857143
20:20:58.0,1782.6666666666667
20:20:58.500,1898.642857142857
20:20:59.0,1774.1538461538462
20:20:59.500,1846.392857142857
20:21:00.500,1901.9655172413793
20:21:02.0,2181.083333333334
20:21:03.0,1898.7428571428572
20:21:03.500,1940.0
20:21:04.0,1971.15625
20:21:05.0,2109.272727272728
20:21:06.0,2148.307692307692
20:21:06.500,1973.625
20:21:07.0,2176.740740740741
20:21:08.0,2362.875
20:21:08.500,2215.928571428571
20:21:09.0,2135.5555555555557
20:21:10.0,2361.8947368421054
20:21:11.0,2455.214285714286
20:21:11.500,1576.5454545454545
20:21:12.0,2168.0689655172414
20:21:12.500,1676.3636363636363
20:21:13.500,2287.6666666666665
20:21:14.0,1996.5833333333333
20:21:15.0,2393.9999999999995
20:21:16.0,2363.9666666666662
20:21:16.500,1649.2142857142858
20:21:17.500,2222.774193548386
20:21:18.0,2144.7999999999997
20:21:19.0,2763.7741935483878
20:21:19.500,2233.0625
20:21:20.500,2743.46875
20:21:21.500,2214.294117647059
20:21:22.500,2646.4117647058824
20:21:23.500,2586.939393939394
20:21:24.500,2142.684210526316
20:21:25.500,2908.205882352941
20:21:26.500,2803.35
20:21:27.500,2978.6388888888887
20:21:28.0,2288.75
20:21:29.500,2939.194444444444
20:21:30.0,2370.227272727273
20:21:31.0,2915.25
20:21:32.0,2432.7391304347825
20:21:33.0,2989.972972972973
20:21:34.0,2807.5416666666665
20:21:35.0,3075.5789473684213
20:21:36.0,2859.72
20:21:37.0,3050.307692307692
20:21:38.0,2933.4074074074074
20:21:39.0,2935.0
20:21:39.500,2795.0
20:21:40.0,3203.8518518518517
20:21:41.0,2877.0
20:21:42.0,3093.1071428571427
20:21:43.500,3344.9523809523807
20:21:44.500,3395.2
20:21:46.0,3560.4651162790697
20:21:47.0,3417.5806451612902
20:21:48.0,3372.2045454545455
20:21:49.0,3106.78125
20:21:50.500,3341.5333333333333
20:21:52.0,3557.5588235294117
20:21:53.500,3658.3695652173915
20:21:54.500,3682.8055555555557
20:21:56.0,3713.0425531914893
20:21:57.0,3639.324324324324
20:21:58.500,3525.2291666666665
20:22:00.0,3640.358974358974
20:22:01.500,3755.6530612244896
20:22:03.0,3891.268292682925
20:22:04.500,4041.52
20:22:06.0,3990.6511627906975
20:22:07.500,4080.0
20:22:09.0,4014.4
20:22:10.500,4092.384615384615
20:22:12.0,3932.063829787234
20:22:14.0,4148.528301886792
20:22:15.500,4329.877551020406
20:22:17.500,4448.309090909093
20:22:19.500,4670.745098039216
20:22:21.0,4519.685185185183
20:22:22.500,4311.745454545455
20:22:24.0,4075.75
20:22:26.0,4163.035714285715
20:22:27.500,4395.741379310345
20:22:29.500,4508.534482758621
20:22:31.500,5556.8
20:22:32.0,5230.018181818181
20:22:33.500,4815.56896551724
20:22:35.500,4716.409836065573
20:22:37.500,4986.824561403508
20:22:40.0,5605.112903225807
20:22:41.500,5364.0
20:22:42.500,4779.0
20:22:43.500,4964.726027397261
20:22:45.500,4655.894736842103
20:22:46.500,4967.0
20:22:48.0,6033.485714285715
20:22:48.500,5305.111111111112
20:22:50.0,5561.825
20:22:51.0,7559.08
20:22:52.0,6280.028571428571
20:22:52.500,4595.486486486487
20:22:53.500,5241.666666666667
20:22:54.500,5279.107142857143
20:22:55.500,5354.5
20:22:56.500,5632.868421052632
20:22:57.500,5088.736842105263
20:22:58.0,5364.923076923077
20:22:59.0,5536.1875
20:23:00.0,5671.962962962963
20:23:01.500,6695.411764705882
20:23:02.0,5285.692307692306
20:23:03.0,5540.444444444444
20:23:05.500,7430.547619047619
20:23:07.0,6602.366666666667
20:23:07.500,5353.933333333334
20:23:08.500,6842.115384615385
20:23:10.500,4687.839285714285
20:23:12.500,5465.872340425532
20:23:17.0,6813.686440677967
20:23:18.500,7257.808510638298
20:23:22.500,6448.242647058823
20:23:24.0,6272.028571428571
20:23:28.0,6414.323943661971
20:23:29.500,6587.382352941177
20:23:34.0,6701.3525179856115
20:23:35.500,7009.372093023256
20:23:39.500,6566.517985611512
20:23:41.0,6307.903846153846
20:23:46.0,7082.448275862069
20:23:47.0,7299.737704918033
20:23:48.500,7598.0
20:23:54.500,8804.05555555556
20:23:55.500,8900.81914893617
20:24:04.0,10006.766666666666
20:24:04.500,9737.645454545454
20:24:05.500,9808.0
20:24:08.500,12559.4
20:24:14.0,10123.535714285716
20:24:14.500,10198.13492063492
20:24:15.0,9797.0
20:24:15.500,9591.5
20:24:21.0,6986.20606060606
20:24:21.500,6656.186046511628
20:24:25.500,4850.205607476636
20:24:28.500,7156.110236220473
20:24:31.500,6581.422018348624
20:24:36.0,8955.137404580153
20:24:39.500,11225.451612903225
20:24:40.500,7698.346534653465
20:24:44.500,12598.029411764706
20:24:46.0,8714.296703296708
20:24:50.0,13602.518518518518
20:24:51.500,9794.047619047617
20:24:54.0,13056.589285714286
20:24:55.0,8087.8646616541355
20:25:01.0,9069.50925925926
20:25:07.0,14298.849056603774
20:25:07.500,11921.88157894737
20:25:10.0,14757.42857142857
20:25:11.500,8833.404580152675
20:25:14.500,6799.43103448276
20:25:20.500,9263.045977011492
20:25:28.500,17395.301886792455
20:25:29.0,14095.987341772152
20:25:31.500,17140.867924528295
20:25:32.0,17412.916666666664
20:25:33.500,10551.214953271037
20:25:36.0,14833.25
20:25:36.500,7752.68
20:25:38.0,7670.785714285715
20:25:46.0,14157.644444444444
20:25:47.0,12600.193548387097
20:25:50.500,16198.644444444444
20:25:52.0,12313.731343283582
20:25:54.0,13474.85
20:25:57.0,6424.248554913294
20:26:05.500,13601.799999999997
20:26:11.0,19169.45121951219
20:26:11.500,14404.682692307691
20:26:14.500,17631.246376811596
20:26:17.500,10515.9140625
20:26:23.0,13022.757142857146
20:26:23.500,11507.581632653062
20:26:26.500,12819.675
20:26:29.0,10591.75939849624
20:26:32.500,11814.000000000004
20:26:36.0,11770.196078431378
20:26:39.0,13337.074074074075
20:26:42.500,13151.523255813954
20:26:43.0,12432.242424242424
20:26:46.0,14570.93548387097
20:26:49.0,12005.654545454545
20:26:52.500,14129.2875
20:26:56.0,12607.809090909092
20:26:59.500,14900.62962962963
20:27:03.500,13740.333333333334
20:27:07.0,15720.989795918367
20:27:11.500,14165.110169491525
20:27:14.500,15762.777777777777
20:27:19.500,14665.531914893618
20:27:23.0,17144.409090909096
20:27:28.500,16213.224489795919
20:27:31.500,18113.036764705874
20:27:37.0,16607.78021978022
20:27:40.500,18717.467213114756
20:27:47.500,18313.793103448275
20:27:49.500,18679.17948717948
20:27:51.500,12579.874316939891
20:28:02.500,16367.02027027027
20:28:05.500,16168.985714285714
20:28:06.0,14444.641975308641
20:28:07.0,15539.0
20:28:09.500,17941.0
20:28:10.0,6563.946708463949
20:28:20.0,17707.5625
20:28:20.500,14483.513513513513
20:28:26.0,20623.368932038837
20:28:26.500,16558.30538922156
20:28:27.0,16994.14285714286
20:28:27.500,11050.24
20:28:30.0,10009.315789473689
20:28:34.0,13624.941176470587
20:28:37.500,7821.183333333333
