0,1;-3,321859
0,11;-3,184329
0,12;-3,058822
0,13;-2,943355
0,14;-2,836439
0,15;-2,736892
0,16;-2,643833
0,17;-2,556352
0,18;-2,473857
0,19;-2,395897
0,2;-2,321855
0,21;-2,251504
0,22;-2,184414
0,23;-2,120241
0,24;-2,058868
0,25;-1,999993
0,26;-1,943357
0,27;-1,888935
0,28;-1,836486
0,29;-1,785873
0,3;-1,736902
0,31;-1,68962
0,32;-1,643834
0,33;-1,599452
0,34;-1,556393
0,35;-1,51458
0,36;-1,473877
0,37;-1,434366
0,38;-1,395906
0,39;-1,358442
0,4;-1,321924
0,41;-1,286306
0,42;-1,251545
0,43;-1,217601
0,44;-1,184371
0,45;-1,151965
0,46;-1,120268
0,47;-1,08925
0,48;-1,058884
0,49;-1,029142
0,5;-1
0,51;-0,971434
0,52;-0,943422
0,53;-0,915944
0,54;-0,888978
0,55;-0,862435
0,56;-0,836454
0,57;-0,81093
0,58;-0,785848
0,59;-0,761194
0,6;-0,736952
0,61;-0,71311
0,62;-0,689655
0,63;-0,666575
0,64;-0,643857
0,65;-0,621491
0,66;-0,599466
0,67;-0,577772
0,68;-0,556399
0,69;-0,535338
0,7;-0,51458
0,71;-0,494116
0,72;-0,473872
0,73;-0,453985
0,74;-0,434367
0,75;-0,41501
0,76;-0,395908
0,77;-0,377055
0,78;-0,358444
0,79;-0,340069
0,8;-0,321924
0,81;-0,304004
0,82;-0,286304
0,83;-0,268818
0,84;-0,25154
0,85;-0,234467
0,86;-0,217594
0,87;-0,200915
0,88;-0,184427
0,89;-0,168125
0,9;-0,152006
0,91;-0,136064
0,92;-0,120227
0,93;-0,104653
0,94;-0,08924
0,95;-0,073986
0,96;-0,058887
0,97;-0,043941
0,98;-0,029146
0,99;-0,0145
1;0
1,01;0,014355
1,02;0,028569
1,03;0,042642
1,04;0,056577
1,05;0,070377
1,06;0,084042
1,07;0,097575
1,08;0,110979
1,09;0,12433
1,1;0,137506
1,11;0,150562
1,12;0,163501
1,13;0,176325
1,14;0,189037
1,15;0,201637
1,16;0,214127
1,17;0,226511
1,18;0,238789
1,19;0,250963
1,2;0,263036
1,21;0,275007
1,22;0,286881
1,23;0,298657
1,24;0,310337
1,25;0,321924
1,26;0,333418
1,27;0,344821
1,28;0,356134
1,29;0,367359
1,3;0,378496
1,31;0,389548
1,32;0,400516
1,33;0,4114
1,34;0,422203
1,35;0,432924
1,36;0,443566
1,37;0,45413
1,38;0,464616
1,39;0,475025
1,4;0,485434
1,41;0,495702
1,42;0,505898
1,43;0,516022
1,44;0,526076
1,45;0,53606
1,46;0,545975
1,47;0,555822
1,48;0,565603
1,49;0,575318
1,5;0,584968
1,51;0,594553
1,52;0,604075
1,53;0,613535
1,54;0,622933
1,55;0,63227
1,56;0,641547
1,57;0,650765
1,58;0,659924
1,59;0,669025
1,6;0,678069
1,61;0,687057
1,62;0,695988
1,63;0,704865
1,64;0,713687
1,65;0,722456
1,66;0,731171
1,67;0,739834
1,68;0,748445
1,69;0,757005
1,7;0,765514
1,71;0,773973
1,72;0,782383
1,73;0,790744
1,74;0,799056
1,75;0,80732
1,76;0,815537
1,77;0,823708
1,78;0,831832
1,79;0,83991
1,8;0,847944
1,81;0,855932
1,82;0,863949
1,83;0,871854
1,84;0,879716
1,85;0,887535
1,86;0,895312
1,87;0,903047
1,88;0,910741
1,89;0,918394
1,9;0,926007
1,91;0,933579
1,92;0,941112
1,93;0,948606
1,94;0,956062
1,95;0,963478
1,96;0,970857
1,97;0,978198
1,98;0,985502
1,99;0,992769
2;1
2,01;1,007195
2,02;1,014353
2,03;1,021477
2,04;1,028565
2,05;1,035618
2,06;1,042637
2,07;1,049623
2,08;1,056574
2,09;1,063492
2,1;1,070377
2,11;1,077229
2,12;1,084048
2,13;1,090836
2,14;1,097591
2,15;1,104315
2,16;1,111008
2,17;1,117669
2,18;1,1243
2,19;1,1309
2,2;1,137471
2,21;1,144011
2,22;1,150522
2,23;1,157003
2,24;1,163455
2,25;1,169879
2,26;1,176274
2,27;1,18264
2,28;1,188978
2,29;1,195289
2,3;1,201645
2,31;1,207903
2,32;1,214135
2,33;1,220339
2,34;1,226517
2,35;1,232669
2,36;1,238795
2,37;1,244894
2,38;1,250968
2,39;1,257016
2,4;1,263039
2,41;1,269037
2,42;1,27501
2,43;1,280959
2,44;1,286883
2,45;1,292783
2,46;1,298658
2,47;1,30451
2,48;1,310338
2,49;1,316143
2,5;1,321924
2,51;1,327682
2,52;1,333417
2,53;1,33913
2,54;1,34482
2,55;1,350487
2,56;1,356132
2,57;1,361755
2,58;1,367357
2,59;1,372936
2,6;1,378494
2,61;1,384031
2,62;1,389546
2,63;1,39504
2,64;1,400514
2,65;1,405966
2,66;1,411398
2,67;1,41681
2,68;1,422201
2,69;1,427572
2,7;1,432924
2,71;1,438255
2,72;1,443566
2,73;1,448858
2,74;1,454131
2,75;1,459384
2,76;1,464618
2,77;1,469833
2,78;1,47503
2,79;1,480207
2,8;1,485366
2,81;1,49058
2,82;1,495704
2,83;1,50081
